# Optical n & k TableODB values according to Palik
# Column Entries: wavelength [um], refractive index [1], extinction coefficient [1]
5.0900000E-01,4.4951205E+00,2.4316651E+00
5.1000000E-01,4.5102347E+00,2.4347352E+00
5.1100000E-01,4.5253489E+00,2.4378052E+00
5.1200000E-01,4.5404630E+00,2.4408753E+00
5.1300000E-01,4.5555772E+00,2.4439454E+00
5.1400000E-01,4.5706914E+00,2.4470154E+00
5.1500000E-01,4.5858056E+00,2.4500855E+00
5.1600000E-01,4.6009198E+00,2.4531556E+00
5.1700000E-01,4.6182279E+00,2.4543671E+00
5.1800000E-01,4.6388377E+00,2.4527817E+00
5.1900000E-01,4.6594474E+00,2.4511964E+00
5.2000000E-01,4.6800571E+00,2.4496110E+00
5.2100000E-01,4.7006668E+00,2.4480256E+00
5.2200000E-01,4.7212766E+00,2.4464403E+00
5.2300000E-01,4.7418863E+00,2.4448549E+00
5.2400000E-01,4.7624960E+00,2.4432695E+00
5.2500000E-01,4.7831057E+00,2.4416842E+00
5.2600000E-01,4.8037155E+00,2.4400988E+00
5.2700000E-01,4.8243252E+00,2.4385134E+00
5.2800000E-01,4.8449349E+00,2.4369281E+00
5.2900000E-01,4.8655446E+00,2.4353427E+00
5.3000000E-01,4.8859731E+00,2.4320733E+00
5.3100000E-01,4.9053985E+00,2.4194848E+00
5.3200000E-01,4.9248239E+00,2.4068962E+00
5.3300000E-01,4.9442494E+00,2.3943077E+00
5.3400000E-01,4.9636748E+00,2.3817191E+00
5.3500000E-01,4.9831002E+00,2.3691306E+00
5.3600000E-01,5.0025256E+00,2.3565420E+00
5.3700000E-01,5.0219511E+00,2.3439535E+00
5.3800000E-01,5.0413765E+00,2.3313650E+00
5.3900000E-01,5.0608019E+00,2.3187764E+00
5.4000000E-01,5.0708379E+00,2.3054580E+00
5.4100000E-01,5.0802567E+00,2.2920915E+00
5.4200000E-01,5.0896756E+00,2.2787251E+00
5.4300000E-01,5.0990944E+00,2.2653587E+00
5.4400000E-01,5.1085133E+00,2.2519922E+00
5.4500000E-01,5.1179321E+00,2.2386258E+00
5.4600000E-01,5.1273509E+00,2.2252594E+00
5.4700000E-01,5.1367698E+00,2.2118929E+00
5.4800000E-01,5.1461886E+00,2.1985265E+00
5.4900000E-01,5.1556074E+00,2.1851600E+00
5.5000000E-01,5.1650263E+00,2.1717936E+00
5.5100000E-01,5.1744451E+00,2.1584272E+00
5.5200000E-01,5.1838639E+00,2.1450607E+00
5.5300000E-01,5.1932828E+00,2.1316943E+00
5.5400000E-01,5.2022161E+00,2.1212303E+00
5.5500000E-01,5.2106624E+00,2.1136784E+00
5.5600000E-01,5.2191086E+00,2.1061264E+00
5.5700000E-01,5.2275548E+00,2.0985745E+00
5.5800000E-01,5.2360011E+00,2.0910226E+00
5.5900000E-01,5.2444473E+00,2.0834706E+00
5.6000000E-01,5.2528935E+00,2.0759187E+00
5.6100000E-01,5.2613398E+00,2.0683668E+00
5.6200000E-01,5.2697860E+00,2.0608148E+00
5.6300000E-01,5.2782323E+00,2.0532629E+00
