Measured X,Measured Y,J  X,J  Y,Jph1 X,Jph1 Y,Jph2 X,Jph2 Y,Jph3 X,Jph3 Y,Jph4 X,Jph4 Y,Jph5 X,Jph5 Y,Jph6 X,Jph6 Y,Jph7 X,Jph7 Y,Jph8 X,Jph8 Y,Jph9 X,Jph9 Y,Jph10 X,Jph10 Y
2.8,0.071921859,-,-,2.8,0.073004677,2.8,0.10002653,2.8,0.11608278,2.8,0.13086936,2.8,0.14862199,2.8,0.15570238,2.8,0.16489191,2.8,0.17594768,2.8,0.19620109,2.8,0.23678769
2.7,0.071906813,-,-,2.7,0.073004677,2.7,0.10002653,2.7,0.11608278,2.7,0.13086936,2.7,0.14862199,2.7,0.15570238,2.7,0.16489191,2.7,0.17594768,2.7,0.19620109,2.7,0.23678769
2.6,0.071829313,-,-,2.6,0.073004677,2.6,0.10002653,2.6,0.11608278,2.6,0.13086936,2.6,0.14862199,2.6,0.15570238,2.6,0.16489191,2.6,0.17594768,2.6,0.19620109,2.6,0.23678769
2.5,0.072398406,-,-,2.5,0.073004677,2.5,0.10002653,2.5,0.11608278,2.5,0.13086936,2.5,0.14862199,2.5,0.15570238,2.5,0.16489191,2.5,0.17594768,2.5,0.19620109,2.5,0.23678769
2.4,0.072385203,-,-,2.4,0.073004677,2.4,0.10002653,2.4,0.11608278,2.4,0.13086936,2.4,0.14862199,2.4,0.15570238,2.4,0.16489191,2.4,0.17594768,2.4,0.19620109,2.4,0.23678769
2.3,0.072021344,-,-,2.3,0.073004677,2.3,0.10002653,2.3,0.11608278,2.3,0.13086936,2.3,0.14862199,2.3,0.15570238,2.3,0.16489191,2.3,0.17594768,2.3,0.19620109,2.3,0.23678769
2.2,0.072177109,-,-,2.2,0.073004677,2.2,0.10002653,2.2,0.11608278,2.2,0.13086936,2.2,0.14862199,2.2,0.15570238,2.2,0.16489191,2.2,0.17594768,2.2,0.19620109,2.2,0.23678769
2.1,0.072040063,-,-,2.1,0.073004677,2.1,0.10002653,2.1,0.11608278,2.1,0.13086936,2.1,0.14862199,2.1,0.15570238,2.1,0.16489191,2.1,0.17594768,2.1,0.19620109,2.1,0.23678769
2,0.072720937,-,-,2,0.073004677,2,0.10002653,2,0.11608278,2,0.13086936,2,0.14862199,2,0.15570238,2,0.16489191,2,0.17594768,2,0.19620109,2,0.23678769
1.9,0.072228813,-,-,1.9,0.073004677,1.9,0.10002653,1.9,0.11608278,1.9,0.13086936,1.9,0.14862199,1.9,0.15570238,1.9,0.16489191,1.9,0.17594768,1.9,0.19620109,1.9,0.23678769
1.8,0.072638531,-,-,1.8,0.073004677,1.8,0.10002653,1.8,0.11608278,1.8,0.13086936,1.8,0.14862199,1.8,0.15570238,1.8,0.16489191,1.8,0.17594768,1.8,0.19620109,1.8,0.23678769
